Model1,Model2,statistic,pvalue_raw
DT_KM_NN,XGB_KM_COS_MAHA,526.0,0.038622484656901886
DT_KM_NN,XGB_HDBSCAN_NN,372.5,0.009575405333477243
DT_KM_NN,XGB_HDBSCAN_COS,444.0,0.02367091814059355
DT_KM_NN,XGB_KM_SCAN_NN,603.0,0.3124734113548171
DT_KM_NN,XGB_KM_SCAN_COS,650.0,0.03002385941433171
DT_KM_NN,XGB_KM_SCAN_COS_MAHA,522.5,0.01398594953734236
DT_KM_NN,XGBRF,640.0,0.02776801161214957
DT_KM_NN,XGBRF_KM_C,365.5,0.012772024101754952
DT_KM_NN,XGBRF_KM_NN,412.5,0.04369799461013816
DT_KM_NN,XGBRF_KM_COS,438.0,0.031570815223759374
DT_KM_NN,XGBRF_KM_COS_MAHA,388.5,0.0914929878100366
DT_KM_NN,XGBRF_HDBSCAN_NN,530.5,0.2954276078127629
DT_KM_NN,XGBRF_HDBSCAN_COS,479.0,0.02165614331916394
DT_KM_NN,XGBRF_KM_SCAN_NN,529.5,0.0015534031507057275
DT_KM_NN,XGBRF_KM_SCAN_COS,596.0,0.13786840320189583
DT_KM_NN,XGBRF_KM_SCAN_COS_MAHA,434.0,0.04456428408220279
DT_KM_COS,DT_KM_COS_MAHA,386.5,0.558526961913496
DT_KM_COS,DT_HDBSCAN_NN,640.0,0.6464851424232401
DT_KM_COS,DT_HDBSCAN_COS,42.5,0.04728863485050946
DT_KM_COS,DT_KM_SCAN_NN,27.0,0.0021529817074063848
DT_KM_COS,DT_KM_SCAN_COS,106.5,0.040738697520873855
DT_KM_COS,DT_KM_SCAN_COS_MAHA,132.5,0.8634201905771064
DT_KM_COS,RF,378.5,6.490545905410915e-09
DT_KM_COS,RF_KM_C,163.5,0.019035214100970442
DT_KM_COS,RF_KM_NN,142.0,0.08877384666470388
DT_KM_COS,RF_KM_COS,119.0,0.08076711917547302
DT_KM_COS,RF_KM_COS_MAHA,182.5,0.007712752424998862
DT_KM_COS,RF_HDBSCAN_NN,496.0,0.0010388913883737228
DT_KM_COS,RF_HDBSCAN_COS,437.5,0.007773528822748965
DT_KM_COS,RF_KM_SCAN_NN,524.0,0.36617192296782697
DT_KM_COS,RF_KM_SCAN_COS,538.0,0.3269695882276019
DT_KM_COS,RF_KM_SCAN_COS_MAHA,130.0,0.010292138585241542
DT_KM_COS,XGB,572.0,0.0027476379432655293
DT_KM_COS,XGB_KM_C,221.5,0.00022512642243410245
DT_KM_COS,XGB_KM_NN,440.5,0.265196328961786
DT_KM_COS,XGB_KM_COS,400.5,0.11436188676385398
DT_KM_COS,XGB_KM_COS_MAHA,259.0,0.004922445977660176
DT_KM_COS,XGB_HDBSCAN_NN,215.0,0.0013062889927036405
DT_KM_COS,XGB_HDBSCAN_COS,268.0,0.0035757332702245873
DT_KM_COS,XGB_KM_SCAN_NN,426.5,0.13696677557996997
DT_KM_COS,XGB_KM_SCAN_COS,419.5,0.006886263449570009
DT_KM_COS,XGB_KM_SCAN_COS_MAHA,340.0,0.0011752185271559214
DT_KM_COS,XGBRF,530.0,0.04371940423636592
DT_KM_COS,XGBRF_KM_C,174.0,0.0011528073278934
DT_KM_COS,XGBRF_KM_NN,216.5,0.013217869449036947
DT_KM_COS,XGBRF_KM_COS,182.0,0.014977856939403763
DT_KM_COS,XGBRF_KM_COS_MAHA,180.5,0.014771490784088187
DT_KM_COS,XGBRF_HDBSCAN_NN,374.5,0.22898982087526398
DT_KM_COS,XGBRF_HDBSCAN_COS,407.0,0.0090178424380433
DT_KM_COS,XGBRF_KM_SCAN_NN,356.0,0.0013045200205535528
DT_KM_COS,XGBRF_KM_SCAN_COS,455.0,0.10995443503488349
