Model1,Model2,statistic,pvalue_raw
DT_KM_NN,XGB_KM_COS_MAHA,678.0,0.05360529879648599
DT_KM_NN,XGB_HDBSCAN_NN,398.5,0.007825869426519786
DT_KM_NN,XGB_HDBSCAN_COS,466.5,0.010647375589291767
DT_KM_NN,XGB_KM_SCAN_NN,751.0,0.6998621057017054
DT_KM_NN,XGB_KM_SCAN_COS,677.0,0.034443083871979314
DT_KM_NN,XGB_KM_SCAN_COS_MAHA,585.5,0.009230547919741641
DT_KM_NN,XGBRF,411.0,0.00011825185596786549
DT_KM_NN,XGBRF_KM_C,470.5,0.06952574241275648
DT_KM_NN,XGBRF_KM_NN,493.0,0.16040866599084314
DT_KM_NN,XGBRF_KM_COS,591.0,0.26637856233889934
DT_KM_NN,XGBRF_KM_COS_MAHA,550.0,0.39495660466061233
DT_KM_NN,XGBRF_HDBSCAN_NN,606.0,0.3294016964070773
DT_KM_NN,XGBRF_HDBSCAN_COS,553.0,0.011796628693663703
DT_KM_NN,XGBRF_KM_SCAN_NN,626.5,0.00340821985072689
DT_KM_NN,XGBRF_KM_SCAN_COS,759.5,0.34015498190490356
DT_KM_NN,XGBRF_KM_SCAN_COS_MAHA,477.5,0.11955412142599449
DT_KM_COS,DT_KM_COS_MAHA,367.5,0.4097365186147498
DT_KM_COS,DT_HDBSCAN_NN,650.5,0.2241949110352045
DT_KM_COS,DT_HDBSCAN_COS,57.0,0.20678135495035121
DT_KM_COS,DT_KM_SCAN_NN,42.5,0.01769015851337371
DT_KM_COS,DT_KM_SCAN_COS,98.5,0.015940585680565385
DT_KM_COS,DT_KM_SCAN_COS_MAHA,131.0,0.8300309880207491
DT_KM_COS,RF,123.0,9.697370862536456e-13
DT_KM_COS,RF_KM_C,141.5,0.0024952688718306516
DT_KM_COS,RF_KM_NN,134.0,0.04042139956987062
DT_KM_COS,RF_KM_COS,131.5,0.10052316699918551
DT_KM_COS,RF_KM_COS_MAHA,179.0,0.0048916254848028785
DT_KM_COS,RF_HDBSCAN_NN,512.0,4.910038502539111e-05
DT_KM_COS,RF_HDBSCAN_COS,484.5,0.000882983408849682
DT_KM_COS,RF_KM_SCAN_NN,556.0,0.222125173893574
DT_KM_COS,RF_KM_SCAN_COS,567.0,0.1858280946542914
DT_KM_COS,RF_KM_SCAN_COS_MAHA,134.5,0.008553472376008776
DT_KM_COS,XGB,229.0,9.148406487950007e-08
DT_KM_COS,XGB_KM_C,165.5,7.564924004735292e-06
DT_KM_COS,XGB_KM_NN,492.0,0.1573114619058562
DT_KM_COS,XGB_KM_COS,518.5,0.11587782608966435
DT_KM_COS,XGB_KM_COS_MAHA,345.0,0.0027369284888384728
DT_KM_COS,XGB_HDBSCAN_NN,176.5,0.0001028955000758714
DT_KM_COS,XGB_HDBSCAN_COS,285.5,0.0003722900809721392
DT_KM_COS,XGB_KM_SCAN_NN,465.5,0.1412107730818154
DT_KM_COS,XGB_KM_SCAN_COS,469.5,0.0026345399553833683
DT_KM_COS,XGB_KM_SCAN_COS_MAHA,366.5,0.00023309934853441618
DT_KM_COS,XGBRF,269.0,2.643875324891048e-05
DT_KM_COS,XGBRF_KM_C,296.5,0.007269101550505827
DT_KM_COS,XGBRF_KM_NN,309.5,0.07359539730793753
DT_KM_COS,XGBRF_KM_COS,319.5,0.06169024884088256
DT_KM_COS,XGBRF_KM_COS_MAHA,310.5,0.047311999171281656
DT_KM_COS,XGBRF_HDBSCAN_NN,369.0,0.0587098874534031
DT_KM_COS,XGBRF_HDBSCAN_COS,361.0,0.0005753693341828018
DT_KM_COS,XGBRF_KM_SCAN_NN,386.0,0.0002616257460862717
DT_KM_COS,XGBRF_KM_SCAN_COS,510.5,0.06797372562017494
DT_KM_COS,XGBRF_KM_SCAN_COS_MAHA,313.0,0.03157812703990091
DT_KM_COS_MAHA,DT_HDBSCAN_NN,272.5,0.03797000441986284
DT_KM_COS_MAHA,DT_HDBSCAN_COS,448.5,0.9695683409119503
DT_KM_COS_MAHA,DT_KM_SCAN_NN,387.5,0.29514340304015607
DT_KM_COS_MAHA,DT_KM_SCAN_COS,339.0,0.009892935738542585
DT_KM_COS_MAHA,DT_KM_SCAN_COS_MAHA,332.5,0.5776367054178438
DT_KM_COS_MAHA,RF,171.0,8.844734151384447e-13
DT_KM_COS_MAHA,RF_KM_C,492.5,0.030046401961486016
DT_KM_COS_MAHA,RF_KM_NN,411.0,0.06599848079924119
DT_KM_COS_MAHA,RF_KM_COS,436.5,0.17255922963327486
DT_KM_COS_MAHA,RF_KM_COS_MAHA,476.5,0.020326279301736166
DT_KM_COS_MAHA,RF_HDBSCAN_NN,205.5,1.8932461129449209e-06
DT_KM_COS_MAHA,RF_HDBSCAN_COS,221.5,0.00015205046614680124
DT_KM_COS_MAHA,RF_KM_SCAN_NN,212.5,0.054546489954210464
DT_KM_COS_MAHA,RF_KM_SCAN_COS,258.0,0.09893802393216675
DT_KM_COS_MAHA,RF_KM_SCAN_COS_MAHA,369.5,0.03812762550214215
DT_KM_COS_MAHA,XGB,233.0,3.9001976641256245e-08
DT_KM_COS_MAHA,XGB_KM_C,393.5,0.0005308097069782325
DT_KM_COS_MAHA,XGB_KM_NN,563.5,0.11884259655444387
DT_KM_COS_MAHA,XGB_KM_COS,752.5,0.15985996437129257
DT_KM_COS_MAHA,XGB_KM_COS_MAHA,612.0,0.010105193203565024
DT_KM_COS_MAHA,XGB_HDBSCAN_NN,435.0,0.001035483632877698
DT_KM_COS_MAHA,XGB_HDBSCAN_COS,430.0,0.0015360595880763476
DT_KM_COS_MAHA,XGB_KM_SCAN_NN,668.5,0.20587777786168182
DT_KM_COS_MAHA,XGB_KM_SCAN_COS,671.5,0.008150178747498496
DT_KM_COS_MAHA,XGB_KM_SCAN_COS_MAHA,481.0,0.0007569775204853607
DT_KM_COS_MAHA,XGBRF,329.0,2.6206362797462e-05
DT_KM_COS_MAHA,XGBRF_KM_C,503.0,0.015356020433658723
DT_KM_COS_MAHA,XGBRF_KM_NN,600.0,0.046162504856168136
DT_KM_COS_MAHA,XGBRF_KM_COS,596.0,0.0640393228875
DT_KM_COS_MAHA,XGBRF_KM_COS_MAHA,556.5,0.10486339537297841
DT_KM_COS_MAHA,XGBRF_HDBSCAN_NN,627.5,0.16107834768477447
DT_KM_COS_MAHA,XGBRF_HDBSCAN_COS,422.5,0.001234449892827711
DT_KM_COS_MAHA,XGBRF_KM_SCAN_NN,491.5,0.0006352324726736218
DT_KM_COS_MAHA,XGBRF_KM_SCAN_COS,637.0,0.12876749895991757
DT_KM_COS_MAHA,XGBRF_KM_SCAN_COS_MAHA,517.5,0.032497442594391086
DT_HDBSCAN_NN,DT_HDBSCAN_COS,358.0,0.02728319230645873
DT_HDBSCAN_NN,DT_KM_SCAN_NN,267.5,0.004268454066422895
DT_HDBSCAN_NN,DT_KM_SCAN_COS,683.0,0.7721438460075309
DT_HDBSCAN_NN,DT_KM_SCAN_COS_MAHA,532.0,0.1481903057602878
DT_HDBSCAN_NN,RF,189.0,2.4945051617135028e-12
DT_HDBSCAN_NN,RF_KM_C,906.0,0.4817295247176092
DT_HDBSCAN_NN,RF_KM_NN,820.5,0.9616350387391157
DT_HDBSCAN_NN,RF_KM_COS,772.0,0.8306261995952338
DT_HDBSCAN_NN,RF_KM_COS_MAHA,874.5,0.4713363760101459
DT_HDBSCAN_NN,RF_HDBSCAN_NN,242.0,0.0003582783877692948
DT_HDBSCAN_NN,RF_HDBSCAN_COS,237.0,0.00698008101540087
DT_HDBSCAN_NN,RF_KM_SCAN_NN,428.0,0.5825737196901379
DT_HDBSCAN_NN,RF_KM_SCAN_COS,441.5,0.7010233555824193
DT_HDBSCAN_NN,RF_KM_SCAN_COS_MAHA,708.5,0.6040302676761964
DT_HDBSCAN_NN,XGB,319.0,1.7000925384269814e-07
DT_HDBSCAN_NN,XGB_KM_C,720.0,0.07087079936335991
DT_HDBSCAN_NN,XGB_KM_NN,1207.0,0.9975915088664189
DT_HDBSCAN_NN,XGB_KM_COS,940.0,0.9683050017188698
DT_HDBSCAN_NN,XGB_KM_COS_MAHA,1088.0,0.27406441551320204
DT_HDBSCAN_NN,XGB_HDBSCAN_NN,612.5,0.05866154250925083
DT_HDBSCAN_NN,XGB_HDBSCAN_COS,677.0,0.07816270548010291
DT_HDBSCAN_NN,XGB_KM_SCAN_NN,1155.0,0.7514756698003329
DT_HDBSCAN_NN,XGB_KM_SCAN_COS,694.5,0.10289094819657098
