Dataset,Model,Metric,Best Score,Mean Score,Best Params
DT_KM_NN,RF,f1-score,0.9836484983314794,0.980071110757985,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_NN,RF,roc_auc,0.9986666666666666,0.9976736111111111,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_NN,XGB,precision,0.98125,0.973125,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_NN,XGB,accuracy,0.9867741935483872,0.9801881720430108,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_NN,XGB,f1-score,0.9868743047830921,0.9804282536151279,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_NN,XGB,roc_auc,0.9955555555555555,0.9940277777777778,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_NN,XGBRF,precision,0.98125,0.9762500000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_NN,XGBRF,accuracy,0.9867741935483872,0.9834677419354839,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_NN,XGBRF,f1-score,0.9868743047830921,0.9836540600667407,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_NN,XGBRF,roc_auc,0.9964444444444445,0.9957847222222223,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_COS,DT,precision,0.99375,0.985610119047619,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,DT,accuracy,0.9933333333333334,0.9800537634408604,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,DT,f1-score,0.9933259176863182,0.9795108321415329,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,DT,roc_auc,0.9933333333333334,0.9874583333333333,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,RF,precision,0.975,0.9708639705882354,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,RF,accuracy,0.9800000000000001,0.9775,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,RF,f1-score,0.9799539170506912,0.9776857718894009,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS,RF,roc_auc,0.9995555555555555,0.9993333333333332,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_COS,XGB,precision,0.9745833333333334,0.9714583333333333,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS,XGB,accuracy,0.9833333333333334,0.9800537634408603,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS,XGB,f1-score,0.9836559139784946,0.9803188728216536,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS,XGB,roc_auc,0.9982222222222221,0.9958888888888888,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS,XGBRF,precision,0.9875,0.9794791666666667,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_COS,XGBRF,accuracy,0.99,0.9858333333333333,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_COS,XGBRF,f1-score,0.9901001112347052,0.9860715609936965,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_COS,XGBRF,roc_auc,0.9962222222222221,0.9960555555555555,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_COS_MAHA,DT,precision,0.99375,0.9810022759103643,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
