Dataset,Model,Metric,Best Score,Mean Score,Best Params
HDBSCAN_COS,XGBRF,roc_auc,0.9959999999999999,0.9948888888888887,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
KM_SCAN_NN,DT,precision,0.99375,0.9858333333333333,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,DT,accuracy,0.99,0.9866666666666668,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,DT,f1-score,0.98963133640553,0.9865245775729647,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,DT,roc_auc,0.9928888888888888,0.9872777777777778,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
KM_SCAN_NN,RF,precision,0.98125,0.98125,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,RF,accuracy,0.9866666666666667,0.9858333333333335,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,RF,f1-score,0.9868743047830921,0.9859506594628951,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,RF,roc_auc,0.999111111111111,0.9988888888888888,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
KM_SCAN_NN,XGB,precision,0.98125,0.973125,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
KM_SCAN_NN,XGB,accuracy,0.9866666666666667,0.9825000000000002,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
KM_SCAN_NN,XGB,f1-score,0.9868743047830921,0.9828476084538376,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
KM_SCAN_NN,XGB,roc_auc,0.9959999999999999,0.9951111111111111,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
KM_SCAN_NN,XGBRF,precision,0.98125,0.9779166666666668,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
KM_SCAN_NN,XGBRF,accuracy,0.9866666666666667,0.9850000000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
KM_SCAN_NN,XGBRF,f1-score,0.9868743047830921,0.9852651093807934,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
KM_SCAN_NN,XGBRF,roc_auc,0.9959999999999999,0.9954444444444445,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
KM_SCAN_COS,DT,precision,0.9870833333333333,0.9819345238095238,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
